"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C10","Сheck the functionality of ""Read more"" link","Ira Kudleichuk","6/7/2020 5:48 PM","","","Critical","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:36 AM"
"C11","Check the functionality of [Like] button","Ira Kudleichuk","6/7/2020 5:48 PM","","","Critical","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:36 AM"
"C12","Check if  ""Username"" link sends the user on the page of  author's article","Ira Kudleichuk","6/7/2020 5:49 PM","","","Critical","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:36 AM"
"C40","Unregistered user can not use [Like Button]","Ira Kudleichuk","6/14/2020 6:52 PM","","","Critical","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:36 AM"
"C41","The list of articles will be given to unregistered user after clicking on tag","Ira Kudleichuk","6/14/2020 6:56 PM","","","Critical","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:36 AM"
"C42","N page is opened after clicking on it","Ira Kudleichuk","6/14/2020 6:57 PM","","","High","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:37 AM"
"C43","Articles are shown on the page in DESC order","Ira Kudleichuk","6/14/2020 6:58 PM","","","Medium","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/14/2020 6:58 PM"
"C44","Data and name of author near  the article respond to actual information","Ira Kudleichuk","6/14/2020 7:05 PM","","","Medium","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/14/2020 7:05 PM"
"C45","Unregistered user can not follow other authors","Ira Kudleichuk","6/14/2020 7:09 PM","","","Critical","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:36 AM"
"C46","Unregistered  user can not add comments to  article.","Ira Kudleichuk","6/14/2020 7:11 PM","","","Critical","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:36 AM"
"C47","The message ""Sign in or sign up to add comments on this article"" is shown if unregistered user wants to add comment","Ira Kudleichuk","6/14/2020 7:14 PM","","","High","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:37 AM"
"C48","""Sign in"" button sends user on sign in page","Ira Kudleichuk","6/14/2020 7:16 PM","","","High","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:37 AM"
"C49","""Sign UP"" button sends user in Sign up page","Ira Kudleichuk","6/14/2020 7:17 PM","","","High","","Home page","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:37 AM"
"C17","The authorization error message will appear if a user enters an invalid  password or username","Ira Kudleichuk","6/7/2020 6:01 PM","","","High","","Sign in","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:38 AM"
"C18","Authorization error message will appear if the user leaves ""Password"" or ""Username""  field blank","Ira Kudleichuk","6/7/2020 6:03 PM","","","High","","Sign in","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:38 AM"
"C85","The [Sign In] button has to initiate the [username/email]/password pair checking action.","Ira Kudleichuk","6/17/2020 6:42 PM","","","Critical","","Sign in","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:38 AM"
"C86","Users that have  not been  registered yet can not log in","Ira Kudleichuk","6/17/2020 6:51 PM","","","Critical","","Sign in","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:38 AM"
"C87","‘Need an account’ link redirects user on ""Sign up"" page","Ira Kudleichuk","6/17/2020 6:52 PM","","","Medium","","Sign in","1","","Master","S1","Other","Ira Kudleichuk","6/17/2020 6:52 PM"
"C77","User can copy/paste text in the input field for ""Username""","Ira Kudleichuk","6/17/2020 6:20 PM","","","Medium","","Username/Email","2","","Master","S1","Other","Ira Kudleichuk","6/17/2020 6:20 PM"
"C78","Lowercase letters, as well as uppercase letters, are allowed at ""Username"" field","Ira Kudleichuk","6/17/2020 6:23 PM","","","Medium","CON-16","Username/Email","2","","Master","S1","Other","Ira Kudleichuk","6/17/2020 7:28 PM"
"C79","""Username"" field is mandatory","Ira Kudleichuk","6/17/2020 6:24 PM","","","Critical","","Username/Email","2","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:41 AM"
"C80","User can log in only with a username/email which already exists in the server DB.","Ira Kudleichuk","6/17/2020 6:29 PM","","","Critical","","Username/Email","2","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:41 AM"
"C88","User can enter email or username in ""Username"" field","Ira Kudleichuk","6/17/2020 7:34 PM","","","High","CON-17","Username/Email","2","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:41 AM"
"C81","User has to enter the same Username/Password pair which already exist on the server to log in","Ira Kudleichuk","6/17/2020 6:34 PM","","","Critical","","Password","2","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:42 AM"
"C82","""Password"" field should contain mask","Ira Kudleichuk","6/17/2020 6:35 PM","","","Critical","","Password","2","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:42 AM"
"C83","""Password"" field is mandatory","Ira Kudleichuk","6/17/2020 6:36 PM","","","Critical","","Password","2","","Master","S1","Other","Ira Kudleichuk","6/22/2020 9:42 AM"
"C84","User can copy/paste text in the input field for ""Password""","Ira Kudleichuk","6/17/2020 6:38 PM","","","Medium","","Password","2","","Master","S1","Other","Ira Kudleichuk","6/17/2020 6:38 PM"
"C56","""Username"" field is mandatory","Ira Kudleichuk","6/16/2020 12:35 PM","","","Critical","","Sign UP","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 10:07 AM"
"C57","Username should contain at least 4 characters","Ira Kudleichuk","6/16/2020 12:36 PM","","","High","CON-5","Sign UP","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 10:08 AM"
"C58","Username can not contain more than 36 characters","Ira Kudleichuk","6/16/2020 12:36 PM","","","High","CON-6","Sign UP","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 10:08 AM"
"C59","Only Latin characters are allowed for ""Username"" field","Ira Kudleichuk","6/16/2020 12:36 PM","","","Critical","CON-7","Sign UP","1","","Master","S1","Other","Ira Kudleichuk","6/22/2020 10:07 AM"
"C60","Such special symbols as “ -"" and ""_ “are allowed for Username filed","Ira Kudleichuk","6/16/2020 12:36 PM","","","Medium","","Sign UP","1","","Master","S1","Other","Ira Kudleichuk","6/16/2020 12:36 PM"
